,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
12822,BURG - AUTO,03/01/2020 01:20:00 PM,20-906158,BURGLARY-AUTO,10Y,800 53RD ST,Oakland,CA,"800 53RD ST
Oakland, CA
(37.838004, -122.269462)",37.8380198,-122.2692328
12823,BURG - COMMERCIAL,09/02/2019 03:34:00 AM,19-045441,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21Y,3000 SCHOOL ST,Oakland,CA,"3000 SCHOOL ST
Oakland, CA
(37.794653, -122.212336)",37.7947969,-122.2122266
12824,MISDEMEANOR ASSAULT,02/27/2020 11:23:00 AM,20-011276,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1900 SAN PABLO AV,Oakland,CA,"1900 SAN PABLO AV
Oakland, CA
(37.809032, -122.27271)",37.8087976,-122.2726668
12825,BURG - AUTO,03/31/2020 03:26:00 AM,20-016984,BURGLARY-AUTO,35X,2300 AUSEON AV,Oakland,CA,"2300 AUSEON AV
Oakland, CA
(37.75717, -122.165795)",37.7569275,-122.1656133
12826,NARCOTICS,03/30/2020 10:19:00 PM,20-016953,POSSESS CONTROLLED SUBSTANCE,06X,2400 MARTIN LUTHER KING JR W,Oakland,CA,"2400 MARTIN LUTHER KING JR W
Oakland, CA",37.8142983,-122.2723111
12827,DOMESTIC VIOLENCE,02/12/2020 09:15:00 PM,20-008528,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32Y,10900 MACARTHUR BLVD,Oakland,CA,"10900 MACARTHUR BLVD
Oakland, CA
(37.741083, -122.149135)",37.7412449,-122.1490804
12828,VANDALISM,04/19/2019 06:14:00 PM,19-019551,VANDALISM:DAMAGE PROPERTY,01X,400 2ND ST,Oakland,CA,"400 2ND ST
Oakland, CA
(37.795585, -122.275115)",37.7956037,-122.2751281
12829,MISDEMEANOR ASSAULT,02/10/2020 02:50:00 PM,20-008021,BATTERY,03Y,700 WASHINGTON ST,Oakland,CA,"700 WASHINGTON ST
Oakland, CA
(37.800147, -122.275322)",37.8000479,-122.275055
12830,VANDALISM,02/09/2020 09:44:00 PM,20-007847,VANDALISM,31Y,500 98TH AV,Oakland,CA,"500 98TH AV
Oakland, CA
(37.734987, -122.183938)",37.7348289,-122.1838466
12831,VANDALISM,03/14/2020 11:00:00 AM,20-907342,VANDALISM,20X,1200 26TH AV,Oakland,CA,"1200 26TH AV
Oakland, CA
(37.78056, -122.233381)",37.7805818,-122.2333934
12832,OTHER,02/09/2020 07:14:00 PM,20-007832,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,20X,1400 FRUITVALE AV,Oakland,CA,"1400 FRUITVALE AV
Oakland, CA
(37.777747, -122.225774)",37.777623,-122.22585
12833,MISDEMEANOR ASSAULT,02/03/2020 09:40:00 PM,20-006671,BATTERY,03X,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.799026, -122.272977)",37.7990493,-122.2729885
12834,VANDALISM,01/27/2020 06:00:00 PM,20-905125,VANDALISM,09X,4000 BROADWAY,Oakland,CA,"4000 BROADWAY
Oakland, CA
(37.827697, -122.256531)",37.827611,-122.2562828
12835,VANDALISM,01/22/2020 04:20:00 AM,20-905782,VANDALISM,13Y,6000 SKYLINE BLVD,Oakland,CA,"6000 SKYLINE BLVD
Oakland, CA
(37.852697, -122.212598)",37.85286079999999,-122.212271
12836,BURG - AUTO,03/13/2020 06:39:00 PM,20-907222,BURGLARY-AUTO,19X,1200 EMBARCADERO,Oakland,CA,"1200 EMBARCADERO
Oakland, CA
(37.788219, -122.251554)",37.7988418,-122.2895083
12837,DISORDERLY CONDUCT,01/31/2020 09:59:00 AM,20-005997,SEX OFFENDER/ETC REMAIN TO DISRUPT SCHOOL ACTIVITIES,13Z,1700 MOUNTAIN BLVD,Oakland,CA,"1700 MOUNTAIN BLVD
Oakland, CA
(37.832122, -122.213871)",37.8321234,-122.2134679
12838,THREATS,02/09/2020 09:30:00 PM,20-007848,EXHIBIT FIREARM,19X,1500 INTERNATIONAL BLVD,Oakland,CA,"1500 INTERNATIONAL BLVD
Oakland, CA
(37.788937, -122.245185)",37.7890587,-122.2449381
12839,RECOVERED VEHICLE - OAKLAND STOLEN,02/06/2020 11:36:00 PM,20-006718,VEHICLE THEFT - AUTO,14X,300 ADAMS ST,Oakland,CA,"300 ADAMS ST
Oakland, CA
(37.814128, -122.25626)",37.8138817,-122.2563359
12840,DISORDERLY CONDUCT,02/08/2020 09:09:00 PM,20-007741,DISTURB THE PEACE,23X,1200 37TH AV,Oakland,CA,"1200 37TH AV
Oakland, CA
(37.774259, -122.22159)",37.7741816,-122.2216611
12841,PETTY THEFT,02/09/2020 12:00:00 PM,20-007786,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.805174, -122.294046)",37.8055949,-122.293898
12842,WEAPONS,03/02/2020 11:29:00 PM,20-012159,CARRY STOLEN LOADED FIREARM,19X,2100 INTERNATIONAL BLVD,Oakland,CA,"2100 INTERNATIONAL BLVD
Oakland, CA
(37.785198, -122.238939)",37.78527,-122.238548
12843,GRAND THEFT,02/26/2020 03:15:00 PM,20-906064,THEFT,04X,1900 HARRISON ST,Oakland,CA,"1900 HARRISON ST
Oakland, CA
(37.806345, -122.26546)",37.8064018,-122.2654356
12844,BURG - AUTO,02/11/2020 02:00:00 AM,20-904935,BURGLARY-AUTO,17Y,2500 IVY DR,Oakland,CA,"2500 IVY DR
Oakland, CA
(37.801519, -122.241941)",37.8014299,-122.2419466
12845,,02/29/2020 07:00:00 PM,20-012196,VEHICLE THEFT - AUTO,15X,700 BROOKLYN AV,Oakland,CA,"700 BROOKLYN AV
Oakland, CA
(37.803519, -122.245447)",37.8037149,-122.245294
12846,VANDALISM,01/27/2020 06:00:00 PM,20-905175,VANDALISM,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)",37.8029381,-122.2675967
12847,NARCOTICS,03/18/2020 05:44:00 PM,20-015136,POSSESS CONTROLLED SUBSTANCE,19X,2200 E 15TH ST,Oakland,CA,"2200 E 15TH ST
Oakland, CA
(37.785335, -122.236987)",37.785499,-122.2368276
12848,FRAUD,01/30/2020 04:30:00 PM,20-905243,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,5900 TELEGRAPH AV,Oakland,CA,"5900 TELEGRAPH AV
Oakland, CA
(37.845308, -122.261194)",37.845214,-122.2609956
12849,DOMESTIC VIOLENCE,03/18/2020 10:35:00 PM,20-015164,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,30X,7600 LOCKWOOD ST,Oakland,CA,"7600 LOCKWOOD ST
Oakland, CA
(37.761468, -122.179687)",37.761682,-122.179378
12850,ARSON,03/23/2020 06:29:00 AM,20-015793,MAL SET/ETC FIRE PROP/ETC,08X,3300 WEBSTER ST,Oakland,CA,"3300 WEBSTER ST
Oakland, CA
(37.821313, -122.262181)",37.8211303,-122.2620467
12851,GRAND THEFT,02/26/2020 07:45:00 PM,20-906054,THEFT,15X,1800 LAKESHORE AV,Oakland,CA,"1800 LAKESHORE AV
Oakland, CA
(37.800844, -122.254253)",37.8007469,-122.2539717
12852,FELONY ASSAULT,02/27/2020 12:30:00 PM,20-011292,BATTERY W/SERIOUS BODILY INJURY,17Y,2200 10TH AV,Oakland,CA,"2200 10TH AV
Oakland, CA
(37.797366, -122.242324)",37.7973669,-122.2422819
12853,DISORDERLY CONDUCT,02/09/2020 06:00:00 AM,20-007762,DISTURB THE PEACE,11X,700 54TH ST,Oakland,CA,"700 54TH ST
Oakland, CA
(37.83918, -122.267245)",37.8393443,-122.2672275
12854,ROBBERY,03/15/2020 12:40:00 AM,20-014537,ROBBERY-FIREARM,27X,BELVEDERE ST & YGNACIO AV,Oakland,CA,"BELVEDERE ST & YGNACIO AV
Oakland, CA
(37.773495, -122.199672)",37.77402379999999,-122.1996998
12855,VANDALISM,03/15/2020 07:45:00 PM,20-907317,VANDALISM,99X,49TH ST,Oakland,CA,"49TH ST
Oakland, CA",37.8353057,-122.258684
12856,,03/15/2020 12:00:00 AM,20-015225,ELDER ABUSE BY THEFT OR EMBEZZLEMENT,24X,2100 SANTA RITA ST,Oakland,CA,"2100 SANTA RITA ST
Oakland, CA
(37.783321, -122.213919)",37.78330750000001,-122.2138605
12857,STOLEN VEHICLE,03/23/2020 06:00:00 PM,20-015944,VEHICLE THEFT - AUTO,16Y,1100 EXCELSIOR AV,Oakland,CA,"1100 EXCELSIOR AV
Oakland, CA
(37.805157, -122.23399)",37.80555620000001,-122.2335036
12858,GRAND THEFT,01/31/2020 07:45:00 PM,20-905190,THEFT,08X,500 40TH ST,Oakland,CA,"500 40TH ST
Oakland, CA
(37.82926, -122.264805)",37.829514,-122.264787
12859,BURG - AUTO,02/29/2020 07:40:00 PM,20-906152,BURGLARY-AUTO,26Y,800 75TH AV,Oakland,CA,"800 75TH AV
Oakland, CA
(37.752991, -122.194127)",37.7528107,-122.193362
12860,STOLEN VEHICLE,02/08/2020 10:00:00 PM,20-008298,VEHICLE THEFT - AUTO,26Y,77TH AV & HAMILTON ST,Oakland,CA,"77TH AV & HAMILTON ST
Oakland, CA
(37.754817, -122.188663)",37.7547969,-122.1886736
12861,VANDALISM,01/27/2020 06:45:00 PM,20-905174,VANDALISM,12X,41ST ST & SHAFTER AV,Oakland,CA,"41ST ST & SHAFTER AV
Oakland, CA
(37.829209, -122.259578)",37.8292173,-122.259548
12862,BURG - AUTO,03/09/2020 06:00:00 AM,20-906900,BURGLARY-AUTO,13Z,00 OSBORNE CT,Oakland,CA,"00 OSBORNE CT
Oakland, CA",37.8166838,-122.1906672
12863,VANDALISM,02/25/2020 12:56:00 AM,20-010781,VANDALISM,04X,1600 TELEGRAPH AV,Oakland,CA,"1600 TELEGRAPH AV
Oakland, CA
(37.806119, -122.270459)",37.80634939999999,-122.270204
12864,BURG - AUTO,02/15/2020 01:45:00 AM,20-904921,BURGLARY-AUTO,19X,1800 EMBARCADERO,Oakland,CA,"1800 EMBARCADERO
Oakland, CA
(37.785052, -122.244329)",37.784468,-122.243495
12865,VANDALISM,02/16/2020 11:11:00 PM,20-905780,VANDALISM,09X,200 41ST ST,Oakland,CA,"200 41ST ST
Oakland, CA
(37.827541, -122.25388)",37.8275572,-122.2538563
12866,BURG - RESIDENTIAL,03/01/2020 06:30:00 PM,20-011892,BURGLARY-FORCIBLE ENTRY,18Y,2300 14TH AV,Oakland,CA,"2300 14TH AV
Oakland, CA
(37.794959, -122.237689)",37.7947712,-122.2375811
12867,WEAPONS,03/27/2020 11:07:00 PM,20-016492,EXHIBIT FIREARM,02X,600 MARKET ST,Oakland,CA,"600 MARKET ST
Oakland, CA
(37.847317, -122.265447)",37.8021331,-122.2829628
12868,MISDEMEANOR ASSAULT,03/05/2020 06:00:00 AM,20-012735,FIGHT/CHALLENGE IN PUBLIC PLACE,12X,500 48TH ST,Oakland,CA,"500 48TH ST
Oakland, CA
(37.834685, -122.262643)",37.8350429,-122.2628756
12869,FELONY ASSAULT,03/01/2020 11:58:00 PM,20-011922,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,1600 96TH AV,Oakland,CA,"1600 96TH AV
Oakland, CA
(37.7468, -122.169337)",37.7468047,-122.1693388
12870,STOLEN VEHICLE,03/23/2020 12:38:00 AM,20-015770,VEHICLE THEFT - AUTO,32X,9900 E ST,Oakland,CA,"9900 E ST
Oakland, CA
(37.740498, -122.176132)",37.7406142,-122.1759132
12871,THREATS,02/09/2020 09:30:00 PM,20-007848,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,19X,1500 INTERNATIONAL BLVD,Oakland,CA,"1500 INTERNATIONAL BLVD
Oakland, CA
(37.788937, -122.245185)",37.7890587,-122.2449381
12872,GAMBLING,01/29/2020 05:00:00 PM,20-005564,GAMBLING,30X,7400 WELD ST,Oakland,CA,"7400 WELD ST
Oakland, CA
(37.762025, -122.181311)",37.7619597,-122.1809583
12873,GRAND THEFT,02/08/2020 01:00:00 AM,20-007801,GRAND THEFT,27Y,5300 HOLLAND ST,Oakland,CA,"5300 HOLLAND ST
Oakland, CA
(37.769263, -122.205373)",37.7694242,-122.2052221
12874,GRAND THEFT,01/26/2020 09:00:00 AM,20-905316,GRAND THEFT,08X,400 30TH ST,Oakland,CA,"400 30TH ST
Oakland, CA
(37.819019, -122.264861)",37.8192492,-122.2648127
12875,GRAND THEFT,11/08/2019 10:00:00 AM,20-905267,GRAND THEFT,77X,12-14 MADISON ST,Oakland,CA,"12-14 MADISON ST
Oakland, CA
(37.800533, -122.264687)",37.8002569,-122.2648544
12876,RECOVERED O/S STOLEN,02/06/2020 08:19:00 AM,20-007145,VEHICLE THEFT - AUTO,35X,8200 FONTAINE ST,Oakland,CA,"8200 FONTAINE ST
Oakland, CA
(37.767435, -122.153675)",37.7678547,-122.153962
12877,TOWED VEHICLE,01/25/2020 09:00:00 AM,20-004651,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,15X,1900 3RD AV,Oakland,CA,"1900 3RD AV
Oakland, CA
(37.800167, -122.250287)",37.80015059999999,-122.2504332
12878,,03/23/2020 10:30:00 PM,20-015909,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,5900 E 17TH ST,Oakland,CA,"5900 E 17TH ST
Oakland, CA
(37.76631, -122.197115)",37.7665941,-122.1974488
12879,VANDALISM,02/13/2020 03:14:00 PM,20-008673,BATTERY,02X,7TH ST & FILBERT ST,Oakland,CA,"7TH ST & FILBERT ST
Oakland, CA
(37.80309, -122.285031)",37.8031002,-122.2850259
12880,MISDEMEANOR ASSAULT,02/13/2020 03:50:00 PM,20-008692,BATTERY,27Y,5300 BANCROFT AV,Oakland,CA,"5300 BANCROFT AV
Oakland, CA
(37.771774, -122.202882)",37.77199299999999,-122.2028502
12881,RECOVERED O/S STOLEN,03/01/2020 10:44:00 AM,20-011826,VEHICLE THEFT - AUTO,21Y,2800 SCHOOL ST,Oakland,CA,"2800 SCHOOL ST
Oakland, CA
(37.795578, -122.21649)",37.7955908,-122.2165043
12882,VANDALISM,02/25/2020 12:56:00 AM,20-010781,BATTERY,04X,1600 TELEGRAPH AV,Oakland,CA,"1600 TELEGRAPH AV
Oakland, CA
(37.806119, -122.270459)",37.80634939999999,-122.270204
12883,BURG - COMMERCIAL,01/31/2020 03:00:00 PM,20-006739,BURGLARY-NO FORCE,03Y,400 8TH ST,Oakland,CA,"400 8TH ST
Oakland, CA
(37.799726, -122.272547)",37.7997317,-122.2725336
12884,FELONY ASSAULT,02/09/2020 09:00:00 PM,20-007841,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,33X,1300 88TH AV,Oakland,CA,"1300 88TH AV
Oakland, CA
(37.750308, -122.177332)",37.7503332,-122.177305
12885,THREATS,02/09/2020 11:31:00 AM,20-007780,THREAT CRIME:INT:TERRORIZE,32Y,10700 MACARTHUR BLVD,Oakland,CA,"10700 MACARTHUR BLVD
Oakland, CA
(37.741775, -122.150612)",37.7431042,-122.1503889
12886,STOLEN VEHICLE,03/03/2020 12:00:00 PM,20-012309,VEHICLE THEFT - AUTO,13Y,7100 BUCKINGHAM BLVD,Oakland,CA,"7100 BUCKINGHAM BLVD
Oakland, CA",37.860002,-122.221848
12887,VANDALISM,01/25/2020 04:14:00 AM,20-004625,THEFT,07X,2300 LINDEN ST,Oakland,CA,"2300 LINDEN ST
Oakland, CA
(37.816352, -122.281349)",37.8160537,-122.2812023
12888,BURG - AUTO,03/16/2020 05:00:00 PM,20-907332,BURGLARY-AUTO,14Y,700 OAKLAND AV,Oakland,CA,"700 OAKLAND AV
Oakland, CA
(37.821064, -122.249132)",37.8210312,-122.249098
12889,ARSON,03/01/2020 03:47:00 PM,20-011865,MAL SET/ETC FIRE PROP/ETC,19X,10TH AV & INTERNATIONAL BLVD,Oakland,CA,"10TH AV & INTERNATIONAL BLVD
Oakland, CA
(37.792079, -122.249696)",37.7920853,-122.249675
12890,BURG - AUTO,02/09/2020 07:00:00 PM,20-007850,BURGLARY-AUTO,01X,100 CLAY ST,Oakland,CA,"100 CLAY ST
Oakland, CA
(37.796373, -122.279176)",37.796324,-122.2791895
12891,MISDEMEANOR ASSAULT,02/28/2020 03:20:00 AM,20-011410,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,31X,600 HEGENBERGER RD,Oakland,CA,"600 HEGENBERGER RD
Oakland, CA
(37.744964, -122.195947)",37.7457423,-122.1956898
12892,WEAPONS,03/27/2020 05:36:00 PM,20-016469,CARRY STOLEN LOADED FIREARM,21Y,3200 PLEITNER AV,Oakland,CA,"3200 PLEITNER AV
Oakland, CA
(37.794351, -122.211161)",37.7941993,-122.2112782
12893,PETTY THEFT,01/27/2020 05:30:00 PM,20-905169,THEFT,12Y,5400 CLAREMONT AV,Oakland,CA,"5400 CLAREMONT AV
Oakland, CA
(37.841102, -122.258993)",37.8410526,-122.25872
12894,MISDEMEANOR ASSAULT,02/03/2020 12:25:00 PM,20-006591,BATTERY,06X,3800 MARKET ST,Oakland,CA,"3800 MARKET ST
Oakland, CA
(37.828236, -122.274531)",37.8279986,-122.2745904
12895,,03/02/2020 06:21:00 PM,20-012117,ROBBERY-FIREARM,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.805174, -122.294046)",37.8055949,-122.293898
12896,FORGERY & COUNTERFEITING,12/26/2018 04:55:00 AM,20-906043,THEFT BY USE OF ACCESS CARD,10Y,5700 GENOA ST,Oakland,CA,"5700 GENOA ST
Oakland, CA
(37.841829, -122.272186)",37.8418484,-122.2722117
12897,,03/19/2020 02:32:00 AM,20-015187,BATTERY,26X,4500 E 12TH ST,Oakland,CA,"4500 E 12TH ST
Oakland, CA
(37.770536, -122.214109)",37.7705414,-122.2140299
12898,BURG - AUTO,02/09/2020 07:45:00 AM,20-007789,BURGLARY-AUTO,24Y,3400 LYNDE ST,Oakland,CA,"3400 LYNDE ST
Oakland, CA
(37.787124, -122.213038)",37.7880309,-122.2138883
12899,DOMESTIC VIOLENCE,02/27/2020 07:00:00 PM,20-011363,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,3900 FRUITVALE AV,Oakland,CA,"3900 FRUITVALE AV
Oakland, CA
(37.80524, -122.212559)",37.8050686,-122.212271
12900,,01/17/2020 01:15:00 AM,20-905144,MAIL/ETC THEFT/ETC,13Z,6900 SHEPHERD CANYON RD,Oakland,CA,"6900 SHEPHERD CANYON RD
Oakland, CA
(37.835173, -122.188856)",37.8351604,-122.1889379
12901,GRAND THEFT,02/14/2020 04:00:00 PM,20-010037,GRAND THEFT,18Y,2300 21ST AV,Oakland,CA,"2300 21ST AV
Oakland, CA
(37.791751, -122.232675)",37.7917509,-122.2326287
12902,MISDEMEANOR ASSAULT,02/03/2020 03:54:00 PM,20-006631,BATTERY,03X,100 14TH ST,Oakland,CA,"100 14TH ST
Oakland, CA
(37.801066, -122.26288)",37.8013767,-122.2633979
12903,STOLEN VEHICLE,02/20/2020 09:00:00 PM,20-010103,VEHICLE THEFT - AUTO,30X,81ST AV & PLYMOUTH ST,Oakland,CA,"81ST AV & PLYMOUTH ST
Oakland, CA
(37.758218, -122.17626)",37.7582253,-122.1762997
12904,BURG - AUTO,03/06/2020 06:30:00 PM,20-907066,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA,"200 HEGENBERGER RD
Oakland, CA
(37.731083, -122.199289)",37.730895,-122.1988156
12905,WEAPONS,03/31/2020 09:30:00 AM,20-017010,CARRY CONCEALED WEAPON IN VEHICLE,21Y,3200 GALINDO ST,Oakland,CA,"3200 GALINDO ST
Oakland, CA
(37.787008, -122.22149)",37.7868505,-122.2215233
12906,ROBBERY,03/30/2020 05:08:00 PM,20-016910,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)",37.8174993,-122.2614008
12907,BURG - AUTO,03/22/2020 05:10:00 PM,20-015721,BURGLARY-AUTO,30Y,2800 HAVENSCOURT BLVD,Oakland,CA,"2800 HAVENSCOURT BLVD
Oakland, CA
(37.769583, -122.181856)",37.7697004,-122.1819353
12908,HOMICIDE,02/14/2020 06:23:00 PM,20-008885,SC UNEXPLAINED DEATH,06X,800 35TH ST,Oakland,CA,"800 35TH ST
Oakland, CA
(37.824865, -122.272666)",37.8248008,-122.2723761
12909,VANDALISM,02/27/2020 06:50:00 AM,20-906052,VANDALISM,26Y,7000 SNELL ST,Oakland,CA,"7000 SNELL ST
Oakland, CA
(37.75482, -122.19747)",37.75464880000001,-122.1973108
12910,DOMESTIC VIOLENCE,03/01/2020 05:50:00 AM,20-011800,FALSE IMPRISONMENT,02X,1000 10TH ST,Oakland,CA,"1000 10TH ST
Oakland, CA
(37.797789, -122.263299)",37.80596510000001,-122.2840952
12911,BURG - AUTO,03/16/2020 05:10:00 PM,20-907341,BURGLARY-AUTO,08X,3000 BROADWAY,Oakland,CA,"3000 BROADWAY
Oakland, CA
(37.818822, -122.262056)",0.0,0.0
12912,STOLEN AND RECOVERED VEHICLE,02/10/2020 12:10:00 PM,20-008210,VEHICLE THEFT - AUTO,26Y,70TH AV & SNELL ST,Oakland,CA,"70TH AV & SNELL ST
Oakland, CA
(37.755079, -122.197711)",37.7550404,-122.1977043
12913,BURG - COMMERCIAL,03/03/2020 12:15:00 AM,20-012166,POSSESS/ETC BURGLARY TOOLS,01X,300 BROADWAY,Oakland,CA,"300 BROADWAY
Oakland, CA
(37.796897, -122.275771)",37.796799,-122.275528
12914,STOLEN VEHICLE,02/09/2020 07:00:00 PM,20-008131,VEHICLE THEFT - AUTO,06X,700 31ST ST,Oakland,CA,"700 31ST ST
Oakland, CA
(37.820744, -122.2717)",37.82093,-122.2722188
12915,BURG - AUTO,03/11/2020 07:00:00 PM,20-907150,BURGLARY-AUTO,12Y,5300 COLLEGE AV,Oakland,CA,"5300 COLLEGE AV
Oakland, CA
(37.837843, -122.25129)",37.83789429999999,-122.2510823
12916,BURG - AUTO,03/16/2020 09:30:00 PM,20-907345,BURGLARY-AUTO,06X,2800 MARTIN LUTHER KING JR W,Oakland,CA,"2800 MARTIN LUTHER KING JR W
Oakland, CA",37.8182201,-122.2713269
12917,GRAND THEFT,02/27/2020 03:47:00 AM,20-906063,THEFT,27X,2400 KINGSLAND AV,Oakland,CA,"2400 KINGSLAND AV
Oakland, CA
(37.77355, -122.196928)",37.77355910000001,-122.1969461
12918,STOLEN AND RECOVERED VEHICLE,03/02/2020 04:04:00 PM,20-012090,POSS STOLEN VEH/VES/ETC,04X,1700 CASTRO ST,Oakland,CA,"1700 CASTRO ST
Oakland, CA
(37.809092, -122.275644)",37.8088521,-122.275464
12919,RECOVERED O/S STOLEN,02/11/2020 10:03:00 AM,20-008174,VEHICLE THEFT - AUTO,34X,9600 CHERRY ST,Oakland,CA,"9600 CHERRY ST
Oakland, CA
(37.74761, -122.167043)",37.747789,-122.1671849
12920,DOMESTIC VIOLENCE,03/02/2020 10:18:00 PM,20-012151,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,08X,3500 TELEGRAPH AV,Oakland,CA,"3500 TELEGRAPH AV
Oakland, CA
(37.823856, -122.265869)",37.8237247,-122.2655545
12921,BURG - AUTO,03/15/2020 11:45:00 AM,20-907286,BURGLARY-AUTO,13Y,100 CALDECOTT LN,Oakland,CA,"100 CALDECOTT LN
Oakland, CA
(37.852833, -122.222967)",37.849956,-122.2266554
12922,ROBBERY,03/05/2020 07:30:00 AM,20-012588,VANDALISM-$400+,30Y,7000 BANCROFT AV,Oakland,CA,"7000 BANCROFT AV
Oakland, CA
(37.76692, -122.178191)",37.7679644,-122.1775485
12923,DOMESTIC VIOLENCE,02/18/2020 07:00:00 PM,20-009676,KIDNAPPING,35X,3500 OAK KNOLL BLVD,Oakland,CA,"3500 OAK KNOLL BLVD
Oakland, CA
(37.756465, -122.150021)",37.7562983,-122.1498788
12924,STOLEN VEHICLE,02/11/2020 07:00:00 AM,20-008216,VEHICLE THEFT - AUTO,29X,6400 OUTLOOK AV,Oakland,CA,"6400 OUTLOOK AV
Oakland, CA
(37.776143, -122.176878)",37.7761293,-122.176892
12925,STOLEN VEHICLE,03/03/2020 01:00:00 PM,20-012366,VEHICLE THEFT - AUTO,13Y,100 VICENTE ROAD,Oakland,CA,"100 VICENTE ROAD
Oakland, CA",37.8561217,-122.23439
12926,STOLEN VEHICLE,01/31/2020 12:00:00 PM,20-006742,VEHICLE THEFT - AUTO,32X,1400 102ND AV,Oakland,CA,"1400 102ND AV
Oakland, CA
(37.741609, -122.168043)",37.7415163,-122.1683751
12927,STOLEN VEHICLE,02/29/2020 07:00:00 PM,20-012094,VEHICLE THEFT - AUTO,26X,66TH AV & COLISEUM WY,Oakland,CA,"66TH AV & COLISEUM WY
Oakland, CA
(37.755035, -122.205342)",37.7543951,-122.2066547
12928,DOMESTIC VIOLENCE,03/07/2020 05:27:00 PM,20-013091,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35X,9700 ELMVIEW DR,Oakland,CA,"9700 ELMVIEW DR
Oakland, CA
(37.75027, -122.160401)",37.7501637,-122.1603091
12929,STOLEN VEHICLE,02/04/2020 09:30:00 PM,20-007059,VEHICLE THEFT - AUTO,07X,1100 30TH ST,Oakland,CA,"1100 30TH ST
Oakland, CA
(37.821764, -122.280548)",37.82177739999999,-122.2805785
12930,ARSON,02/05/2020 03:55:00 AM,20-006937,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,19X,1100 4TH AV,Oakland,CA,"1100 4TH AV
Oakland, CA
(37.795125, -122.256573)",37.7951339,-122.2564198
12931,GRAND THEFT,01/31/2020 07:00:00 PM,20-905185,THEFT,04X,1600 HARRISON ST,Oakland,CA,"1600 HARRISON ST
Oakland, CA
(37.804651, -122.266523)",37.8045405,-122.266142
12932,,06/01/2014 07:00:00 PM,20-013416,BATTERY W/SERIOUS BODILY INJURY,21X,2400 E 24TH ST,Oakland,CA,"2400 E 24TH ST
Oakland, CA
(37.789528, -122.227257)",37.7895113,-122.2272536
12933,NARCOTICS,03/31/2020 12:45:00 AM,20-016985,RECEIVE/ETC KNOWN STOLEN PROPERTY,03X,600 JACKSON ST,Oakland,CA,"600 JACKSON ST
Oakland, CA
(37.796522, -122.268665)",37.7965282,-122.2686466
12934,BURG - AUTO,03/09/2020 08:15:00 PM,20-906902,BURGLARY-AUTO,12Y,400 63RD ST,Oakland,CA,"400 63RD ST
Oakland, CA
(37.849237, -122.256786)",37.8492372,-122.2567677
12935,DOMESTIC VIOLENCE,02/22/2020 10:30:00 PM,20-010460,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,23X,1700 35TH AV,Oakland,CA,"1700 35TH AV
Oakland, CA
(37.780847, -122.219993)",37.7807699,-122.2197516
12936,FORGERY & COUNTERFEITING,03/16/2020 12:35:00 PM,20-907331,MAIL/ETC THEFT/ETC,13Z,7000 SARONI DR,Oakland,CA,"7000 SARONI DR
Oakland, CA
(37.834722, -122.196469)",37.8347546,-122.1966652
12937,BURG - AUTO,02/04/2020 12:30:00 PM,20-007004,BURGLARY-AUTO,12Y,6600 CHABOT RD,Oakland,CA,"6600 CHABOT RD
Oakland, CA
(37.84988, -122.24495)",37.8498885,-122.2449197
