CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ROBBERY,04/23/2020 01:27:00 AM,20-020530,ROBBERY-FIREARM,31Y,900 82ND AV,Oakland,CA,"900 82ND AV
Oakland, CA"
DOMESTIC VIOLENCE,04/03/2020 05:51:00 PM,20-017584,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,9200 MACARTHUR BLVD,Oakland,CA,"9200 MACARTHUR BLVD
Oakland, CA
(37.754275, -122.160817)"
,04/25/2020 10:30:00 PM,20-021213,EXHIBIT FIREARM,29X,5500 15TH ST,Oakland,CA,"5500 15TH ST
Oakland, CA"
OTHER,09/01/2019 12:00:00 AM,20-009365,STALKING-MISD,01X,00 EMBARCADERO WEST,Oakland,CA,"00 EMBARCADERO WEST
Oakland, CA"
,05/03/2020 01:40:00 AM,20-022472,THEFT,21X,2300 FOOTHILL BLVD,Oakland,CA,"2300 FOOTHILL BLVD
Oakland, CA
(37.785082, -122.233852)"
VANDALISM,02/04/2020 07:40:00 PM,20-905431,VANDALISM,77X,HOWE ST,Oakland,CA,"HOWE ST
Oakland, CA"
OTHER,04/22/2020 03:14:00 PM,20-020455,REFUSE/ETC TO COMPLY WITH QUARANTINE/DISINFECTION ORDER/ETC,13Z,2500 SCOUT RD,Oakland,CA,"2500 SCOUT RD
Oakland, CA
(37.821925, -122.202153)"
HOMICIDE,04/15/2020 07:07:00 PM,20-019412,SC UNEXPLAINED DEATH,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)"
,04/27/2020 11:19:00 AM,20-021226,THEFT,23X,3200 INTERNATIONAL BLVD,Oakland,CA,"3200 INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
ARSON,02/10/2020 11:00:00 PM,20-012566,SC RECKLESS BURNING,05X,800 16TH ST,Oakland,CA,"800 16TH ST
Oakland, CA
(37.80899, -122.278793)"
,04/29/2020 09:00:00 PM,20-021673,BATTERY,28X,5400 ROBERTS AV,Oakland,CA,"5400 ROBERTS AV
Oakland, CA
(37.777505, -122.191653)"
,04/25/2020 12:35:00 PM,20-909698,THEFT,14X,400 LEE ST,Oakland,CA,"400 LEE ST
Oakland, CA
(37.810895, -122.256359)"
VANDALISM,02/04/2020 09:24:00 PM,20-905430,VANDALISM,77X,21ST ST,Oakland,CA,"21ST ST
Oakland, CA"
BURG - AUTO,04/15/2020 10:30:00 PM,20-908676,THEFT,35X,8200 NEY AV,Oakland,CA,"8200 NEY AV
Oakland, CA
(37.763381, -122.163549)"
BURG - RESIDENTIAL,04/03/2020 01:00:00 AM,20-908010,BURGLARY-FORCIBLE ENTRY,77X,48TH ST,Oakland,CA,"48TH ST
Oakland, CA"
BURG - AUTO,04/08/2020 08:40:00 PM,20-909322,BURGLARY-AUTO,08X,2200 TELEGRAPH AV,Oakland,CA,"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)"
BURG - AUTO,02/14/2020 11:00:00 PM,20-905783,BURGLARY-AUTO,99X,2600 28TH,Oakland,CA,"2600 28TH
Oakland, CA"
MISDEMEANOR ASSAULT,02/14/2020 08:45:00 AM,20-011201,BATTERY,07X,2800 HELEN ST,Oakland,CA,"2800 HELEN ST
Oakland, CA
(37.822321, -122.285196)"
CURFEW & LOITERING,04/17/2020 03:18:00 PM,20-019905,TRESPASSING,27X,5100 FAIRFAX AV,Oakland,CA,"5100 FAIRFAX AV
Oakland, CA
(37.775336, -122.200795)"
DOMESTIC VIOLENCE,05/15/2020 12:00:00 AM,20-024166,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,7100 WELD ST,Oakland,CA,"7100 WELD ST
Oakland, CA
(37.763861, -122.183234)"
MISDEMEANOR ASSAULT,04/03/2020 01:08:00 AM,20-017479,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24X,2000 HARRINGTON AV,Oakland,CA,"2000 HARRINGTON AV
Oakland, CA
(37.781425, -122.215733)"
DUI,04/11/2020 11:19:00 PM,20-018797,DUI ALCOHOL/DRUGS,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ATTEMPTED MURDER-FIREARM,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)"
,04/10/2020 08:00:00 PM,20-018728,VEHICLE THEFT - AUTO,25Y,4100 MAYNARD AV,Oakland,CA,"4100 MAYNARD AV
Oakland, CA
(37.772882, -122.156527)"
HOMICIDE,03/26/2020 10:04:00 AM,19-062954,BURGLARY-FORCIBLE ENTRY,26Y,900 69TH AV,Oakland,CA,"900 69TH AV
Oakland, CA
(37.756802, -122.196345)"
NARCOTICS,04/11/2020 07:47:00 PM,20-018775,PROBATION REVOKED/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)"
,04/11/2020 05:00:00 PM,20-018753,VEHICLE THEFT - AUTO,12X,4900 BROADWAY,Oakland,CA,"4900 BROADWAY
Oakland, CA
(37.833535, -122.252873)"
FELONY ASSAULT,04/22/2020 12:50:00 AM,20-020363,ASSAULT WITH FIREARM ON PERSON,04X,19TH ST & SAN PABLO AV,Oakland,CA,"19TH ST & SAN PABLO AV
Oakland, CA
(37.808797, -122.272637)"
,05/14/2020 06:00:00 PM,20-024133,INDECENT EXPOSURE,27X,5100 TRASK ST,Oakland,CA,"5100 TRASK ST
Oakland, CA
(37.776722, -122.200524)"
MISDEMEANOR ASSAULT,04/11/2020 08:43:00 PM,20-018784,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,2100 50TH AV,Oakland,CA,"2100 50TH AV
Oakland, CA
(37.774347, -122.205112)"
STOLEN VEHICLE,04/20/2020 01:35:00 AM,20-020612,VEHICLE THEFT - AUTO,19X,200 E 12TH ST,Oakland,CA,"200 E 12TH ST
Oakland, CA
(37.797265, -122.257298)"
GRAND THEFT,11/11/2019 09:05:00 AM,20-909426,GRAND THEFT,26X,4700 OAKPORT ST,Oakland,CA,"4700 OAKPORT ST
Oakland, CA
(37.763905, -122.217268)"
VANDALISM,04/27/2020 04:00:00 PM,20-909435,VANDALISM,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)"
MISDEMEANOR ASSAULT,03/11/2020 11:05:00 AM,20-013834,BATTERY,09X,200 W MACARTHUR BLVD,Oakland,CA,"200 W MACARTHUR BLVD
Oakland, CA
(37.822651, -122.255684)"
,03/30/2020 05:00:00 PM,20-017065,VEHICLE THEFT - AUTO,12Y,6100 CHABOT RD,Oakland,CA,"6100 CHABOT RD
Oakland, CA
(37.847681, -122.250578)"
STOLEN VEHICLE,04/19/2020 05:53:00 PM,20-019975,SC STOLEN VEHICLE - AUTO,16Y,1400 E 38TH ST,Oakland,CA,"1400 E 38TH ST
Oakland, CA
(37.803942, -122.227307)"
,09/29/2019 07:50:00 PM,20-023435,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,26Y,6800 HAWLEY ST,Oakland,CA,"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
VANDALISM,03/30/2020 06:30:00 PM,20-019385,"VANDALISM [$400 TO $5,000]",02X,900 7TH ST,Oakland,CA,"900 7TH ST
Oakland, CA
(37.803014, -122.28399)"
MISDEMEANOR ASSAULT,04/02/2020 11:31:00 PM,20-017474,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,3000 98TH AV,Oakland,CA,"3000 98TH AV
Oakland, CA
(37.752575, -122.153287)"
OTHER,04/28/2020 03:45:00 PM,20-021582,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,13Y,00 VICENTE PL,Oakland,CA,"00 VICENTE PL
Oakland, CA"
BURG - AUTO,04/14/2020 03:05:00 AM,20-908557,BURGLARY-AUTO,77X,BROADWAY  TERRACE/SKYLINE BLVD,Oakland,CA,"BROADWAY TERRACE/SKYLINE BLVD
Oakland, CA"
ROBBERY,02/02/2020 11:30:00 AM,20-006602,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",01X,300 5TH ST,Oakland,CA,"300 5TH ST
Oakland, CA
(37.795773, -122.269052)"
DOMESTIC VIOLENCE,04/29/2020 06:54:00 PM,20-021659,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,9800 STEARNS AV,Oakland,CA,"9800 STEARNS AV
Oakland, CA
(37.751565, -122.154224)"
THREATS,04/21/2020 01:53:00 PM,20-020269,DISTURB THE PEACE BY LOUD/UNREASONABLE NOISE,30X,7600 LOCKWOOD ST,Oakland,CA,"7600 LOCKWOOD ST
Oakland, CA
(37.761468, -122.179687)"
,05/14/2020 05:58:00 PM,20-024114,ROBBERY-FIREARM,08X,2300 BLOCK WEBSTER ST,Oakland,CA,"2300 BLOCK WEBSTER ST
Oakland, CA
(37.812134, -122.265203)"
VANDALISM,04/25/2020 08:00:00 PM,20-909337,VANDALISM,15X,400 STOW AV,Oakland,CA,"400 STOW AV
Oakland, CA
(37.803655, -122.251159)"
DOMESTIC VIOLENCE,04/19/2020 11:55:00 AM,20-019925,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,9300 WALNUT ST,Oakland,CA,"9300 WALNUT ST
Oakland, CA
(37.748874, -122.170916)"
MISDEMEANOR ASSAULT,04/19/2020 01:30:00 PM,20-019962,BATTERY,26Y,1200 79TH AV,Oakland,CA,"1200 79TH AV
Oakland, CA
(37.755105, -122.185872)"
ROBBERY,03/14/2020 07:40:00 PM,20-014500,ROBBERY-FIREARM,17Y,2300 11TH AV,Oakland,CA,"2300 11TH AV
Oakland, CA
(37.797289, -122.240555)"
HOMICIDE,03/28/2020 07:04:00 PM,20-016616,ASSAULT WITH FIREARM ON PERSON,21Y,3300 NICOL AV,Oakland,CA,"3300 NICOL AV
Oakland, CA
(37.791078, -122.211009)"
DOMESTIC VIOLENCE,04/11/2020 09:00:00 PM,20-018788,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,3500 FOOTHILL BLVD,Oakland,CA,"3500 FOOTHILL BLVD
Oakland, CA
(37.782111, -122.219088)"
,03/07/2020 04:00:00 PM,20-013227,VEHICLE THEFT - AUTO,19X,1800 14TH AV,Oakland,CA,"1800 14TH AV
Oakland, CA
(37.792485, -122.241802)"
,04/10/2020 12:30:00 PM,20-909427,BURGLARY-NO FORCE,29X,6500 FOOTHILL BLVD,Oakland,CA,"6500 FOOTHILL BLVD
Oakland, CA
(37.770574, -122.183123)"
FRAUD,03/08/2020 08:50:00 PM,20-013390,FRAUD:POSS/USE SCAN DEVICE,03X,300 9TH ST,Oakland,CA,"300 9TH ST
Oakland, CA
(37.799419, -122.269606)"
,05/14/2020 04:11:00 PM,20-024111,FORCIBLE ENTRY AND DETAINER,18Y,2200 19TH AV,Oakland,CA,"2200 19TH AV
Oakland, CA
(37.79243, -122.235281)"
DOMESTIC VIOLENCE,03/25/2020 08:00:00 PM,20-016322,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,1800 LINDEN ST,Oakland,CA,"1800 LINDEN ST
Oakland, CA
(37.812119, -122.282866)"
WEAPONS,04/16/2020 01:22:00 PM,20-019507,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,26X,1200 47TH AV,Oakland,CA,"1200 47TH AV
Oakland, CA
(37.769777, -122.21213)"
FELONY ASSAULT,04/18/2020 06:00:00 PM,20-019847,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,5800 FOOTHILL BLVD,Oakland,CA,"5800 FOOTHILL BLVD
Oakland, CA
(37.771865, -122.192053)"
NARCOTICS,04/11/2020 07:47:00 PM,20-018775,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)"
,04/11/2020 05:30:00 PM,20-018754,ATTEMPTED ROBBERY-STRONG-ARM,09X,4400 BROADWAY,Oakland,CA,"4400 BROADWAY
Oakland, CA
(37.832474, -122.253538)"
MISCELLANEOUS TRAFFIC CRIME,03/19/2020 05:45:00 PM,20-015286,VANDALISM-$400+,99X,1900 DAVIS ST (COSTCO),Oakland,CA,"1900 DAVIS ST (COSTCO)
Oakland, CA"
ROBBERY,02/03/2020 06:20:00 AM,20-006509,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1500 14TH AV,Oakland,CA,"1500 14TH AV
Oakland, CA
(37.790119, -122.245136)"
STOLEN VEHICLE,03/19/2020 06:51:00 PM,20-015298,VEHICLE THEFT - AUTO,13X,5300 BROADWAY,Oakland,CA,"5300 BROADWAY
Oakland, CA
(37.837429, -122.250473)"
DUI,04/11/2020 11:19:00 PM,20-018797,UNLICENSED DRIVER,20X,1600 25TH AV,Oakland,CA,"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
MISCELLANEOUS TRAFFIC CRIME,03/27/2020 11:03:00 PM,20-016494,DUI ALCOHOL/0.08 PERCENT,24X,3700 FOOTHILL BLVD,Oakland,CA,"3700 FOOTHILL BLVD
Oakland, CA
(37.779773, -122.217545)"
WEAPONS,04/02/2020 07:42:00 AM,20-017349,CARRY CONCEALED WEAPON IN VEHICLE,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)"
VANDALISM,03/27/2020 07:45:00 PM,20-907771,VANDALISM,13Z,2000 MOUNTAIN BLVD,Oakland,CA,"2000 MOUNTAIN BLVD
Oakland, CA
(37.827229, -122.209956)"
DOMESTIC VIOLENCE,04/01/2020 01:28:00 PM,20-017228,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,29X,3400 68TH AV,Oakland,CA,"3400 68TH AV
Oakland, CA
(37.772079, -122.175124)"
WEAPONS,04/01/2020 04:43:00 PM,20-017263,CARRY A LOADED CONCEALED WEAPON ON PERSON,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)"
,05/14/2020 04:00:00 PM,20-024205,TAMPER WITH VEHICLE,30X,7800 PLYMOUTH ST,Oakland,CA,"7800 PLYMOUTH ST
Oakland, CA
(37.760801, -122.178137)"
,05/07/2020 10:50:00 AM,20-022928,VANDALISM,33X,1100 82ND AVE,Oakland,CA,"1100 82ND AVE
Oakland, CA
(37.753192, -122.183641)"
DOMESTIC VIOLENCE,05/05/2020 01:00:00 AM,20-022500,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 65TH AV,Oakland,CA,"1200 65TH AV
Oakland, CA
(37.761859, -122.195915)"
STOLEN VEHICLE,04/12/2020 10:00:00 PM,20-019363,VEHICLE THEFT - AUTO,03X,00 8TH ST,Oakland,CA,"00 8TH ST
Oakland, CA"
PETTY THEFT,05/04/2020 09:33:00 AM,20-022348,THEFT,35X,2300 98TH AV,Oakland,CA,"2300 98TH AV
Oakland, CA
(37.749001, -122.160595)"
RECOVERED O/S STOLEN,03/06/2020 03:22:00 PM,20-012951,VEHICLE THEFT - AUTO,34X,9600 SUNNYSIDE ST,Oakland,CA,"9600 SUNNYSIDE ST
Oakland, CA
(37.748639, -122.163481)"
GRAND THEFT,03/26/2020 01:20:00 PM,20-907737,GRAND THEFT,12Y,5300 MILES AV,Oakland,CA,"5300 MILES AV
Oakland, CA
(37.840268, -122.257482)"
,03/08/2020 12:01:00 AM,20-013698,VEHICLE THEFT - AUTO,35X,8200 MACARTHUR BLVD,Oakland,CA,"8200 MACARTHUR BLVD
Oakland, CA
(37.762689, -122.164885)"
WEAPONS,04/01/2020 04:43:00 PM,20-017263,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)"
GRAND THEFT,03/23/2020 02:30:00 PM,20-907705,GRAND THEFT,03Y,700 BROADWAY,Oakland,CA,"700 BROADWAY
Oakland, CA
(37.799572, -122.274093)"
WEAPONS,04/02/2020 07:42:00 AM,20-017349,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,19X,1500 E 12TH ST,Oakland,CA,"1500 E 12TH ST
Oakland, CA
(37.787943, -122.245701)"
BURG - AUTO,03/28/2020 12:00:00 AM,20-907793,BURGLARY-AUTO,03Y,500 9TH ST,Oakland,CA,"500 9TH ST
Oakland, CA
(37.801392, -122.27468)"
BURG - AUTO,03/02/2020 03:02:00 PM,20-907762,BURGLARY-AUTO,26Y,7500 INTERNATIONAL BLVD,Oakland,CA,"7500 INTERNATIONAL BLVD
Oakland, CA
(37.758461, -122.185427)"
FORGERY & COUNTERFEITING,03/26/2020 11:50:00 AM,20-907736,MAKE/PASS FICTITIOUS CHECK,03X,300 12TH ST,Oakland,CA,"300 12TH ST
Oakland, CA
(37.796574, -122.256491)"
,05/10/2020 08:50:00 AM,20-023441,SC STOLEN VEHICLE - AUTO,33X,9200 C ST,Oakland,CA,"9200 C ST
Oakland, CA
(37.746021, -122.177523)"
VANDALISM,03/26/2020 10:22:00 PM,20-907768,VANDALISM,06X,2600 MARTIN LUTHER KING JR W,Oakland,CA,"2600 MARTIN LUTHER KING JR W
Oakland, CA"
STOLEN VEHICLE,04/01/2020 04:30:00 PM,20-019793,VEHICLE THEFT - AUTO,11X,700 56TH ST,Oakland,CA,"700 56TH ST
Oakland, CA
(37.840907, -122.267369)"
,04/23/2020 07:00:00 PM,20-020655,ORAL  COP IN CONCERT:VICTIM INCAPABLE OF GIVING CONSENT,25Y,7700 MOUNTAIN BLVD,Oakland,CA,"7700 MOUNTAIN BLVD
Oakland, CA
(37.773551, -122.157669)"
BURG - AUTO,02/12/2020 02:20:00 PM,20-907629,BURGLARY-AUTO,02X,700 MANDELA PKWY,Oakland,CA,"700 MANDELA PKWY
Oakland, CA
(37.805495, -122.293358)"
MISDEMEANOR ASSAULT,04/02/2020 04:56:00 PM,20-017310,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,7900 CREST AV,Oakland,CA,"7900 CREST AV
Oakland, CA
(37.768629, -122.160335)"
STOLEN VEHICLE,03/31/2020 08:15:00 PM,20-017212,VEHICLE THEFT - AUTO,25X,3800 39TH AV,Oakland,CA,"3800 39TH AV
Oakland, CA
(37.791818, -122.19441)"
OTHER,04/02/2020 11:10:00 AM,20-017371,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800222, -122.253307)"
GRAND THEFT,04/01/2020 02:28:00 PM,20-017240,ATTEMPTED GRAND THEFT,08X,3900 TELEGRAPH AV,Oakland,CA,"3900 TELEGRAPH AV
Oakland, CA
(37.828395, -122.264657)"
GRAND THEFT,03/26/2020 09:50:00 PM,20-907743,THEFT,14X,200 MACARTHUR BLVD,Oakland,CA,"200 MACARTHUR BLVD
Oakland, CA
(37.817623, -122.253038)"
,04/23/2020 07:00:00 PM,20-020655,LEWD OR LASCIVIOUS ACTS W/CHILD OF 14/15 YEARS (AMENDED),25Y,7700 MOUNTAIN BLVD,Oakland,CA,"7700 MOUNTAIN BLVD
Oakland, CA
(37.773551, -122.157669)"
GRAND THEFT,04/24/2020 07:15:00 PM,20-909585,THEFT,15X,200 WAYNE AV,Oakland,CA,"200 WAYNE AV
Oakland, CA
(37.801154, -122.252512)"
BURG - AUTO,01/30/2020 11:00:00 AM,20-906770,BURGLARY-AUTO,08X,3900 OPAL ST,Oakland,CA,"3900 OPAL ST
Oakland, CA
(37.827353, -122.259025)"
GRAND THEFT,04/25/2020 10:45:00 AM,20-909394,GRAND THEFT,04X,1800 JEFFERSON ST,Oakland,CA,"1800 JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)"
MISDEMEANOR ASSAULT,04/01/2020 12:30:00 PM,20-017219,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02Y,1000 WILLOW ST,Oakland,CA,"1000 WILLOW ST
Oakland, CA
(37.809708, -122.298858)"
BURG - AUTO,03/26/2020 03:00:00 PM,20-907796,BURGLARY-AUTO,12Y,6300 DANA ST,Oakland,CA,"6300 DANA ST
Oakland, CA
(37.849047, -122.258183)"
ARSON,03/23/2020 06:00:00 PM,20-015914,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,30X,7800 WELD ST,Oakland,CA,"7800 WELD ST
Oakland, CA
(37.760141, -122.179376)"
BURG - AUTO,03/26/2020 05:38:00 PM,20-907739,BURGLARY-AUTO,13X,6500 BROADWAY TER,Oakland,CA,"6500 BROADWAY TER
Oakland, CA
(37.842901, -122.227412)"
BURG - AUTO,03/27/2020 03:00:00 PM,20-907784,BURGLARY-AUTO,34X,1700 87TH AV,Oakland,CA,"1700 87TH AV
Oakland, CA
(37.75328, -122.172409)"
WEAPONS,04/01/2020 04:43:00 PM,20-017263,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)"
NARCOTICS,04/11/2020 07:47:00 PM,20-018775,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,06X,600 39TH ST,Oakland,CA,"600 39TH ST
Oakland, CA
(37.828986, -122.268281)"
GRAND THEFT,03/22/2020 08:45:00 PM,20-907767,THEFT,14Y,400 CRESCENT ST,Oakland,CA,"400 CRESCENT ST
Oakland, CA
(37.813632, -122.250181)"
VANDALISM,03/27/2020 01:20:00 AM,20-907798,VANDALISM,77X,HAROLD ST,Oakland,CA,"HAROLD ST
Oakland, CA"
VANDALISM,03/28/2020 12:00:00 PM,20-907802,VANDALISM,14Y,100 SANTA ROSA AV,Oakland,CA,"100 SANTA ROSA AV
Oakland, CA
(37.820411, -122.251307)"
MISDEMEANOR ASSAULT,03/27/2020 08:20:00 PM,20-907772,BATTERY AGAINST POLICE OFFICER,07X,24TH ST & MARKET ST,Oakland,CA,"24TH ST & MARKET ST
Oakland, CA
(37.81593, -122.278116)"
PETTY THEFT,03/21/2020 08:00:00 AM,20-015734,THEFT,19X,1500 5TH AV,Oakland,CA,"1500 5TH AV
Oakland, CA
(37.80436, -122.296485)"
DOMESTIC VIOLENCE,03/28/2020 07:39:00 AM,20-016526,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,32Y,10000 MACARTHUR BLVD,Oakland,CA,"10000 MACARTHUR BLVD
Oakland, CA
(37.745864, -122.156078)"
RECOVERED O/S STOLEN,04/21/2020 09:59:00 PM,20-020335,VEHICLE THEFT - AUTO,30X,7800 WELD ST,Oakland,CA,"7800 WELD ST
Oakland, CA
(37.760141, -122.179376)"
STOLEN VEHICLE,04/23/2020 01:30:00 AM,20-020556,VEHICLE THEFT - AUTO,04X,1400 HARRISON ST,Oakland,CA,"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
ROBBERY,04/01/2020 02:19:00 PM,20-017237,BATTERY,23X,1500 35TH AV,Oakland,CA,"1500 35TH AV
Oakland, CA
(37.777353, -122.222134)"
BURG - AUTO,04/08/2020 09:40:00 PM,20-909321,BURGLARY-AUTO,77X,1400 CASTRO ST,Oakland,CA,"1400 CASTRO ST
Oakland, CA
(37.806835, -122.277006)"
,05/06/2020 08:30:00 PM,20-023122,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,31Z,9800 BERNHARDT DR,Oakland,CA,"9800 BERNHARDT DR
Oakland, CA
(37.731954, -122.186752)"
BURG - RESIDENTIAL,12/02/2019 04:00:00 PM,20-907704,BURGLARY-FORCIBLE ENTRY,01X,100 4TH ST,Oakland,CA,"100 4TH ST
Oakland, CA
(37.794197, -122.267262)"
,05/05/2020 02:22:00 AM,20-022495,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,2200 65TH AV,Oakland,CA,"2200 65TH AV
Oakland, CA
(37.765841, -122.190194)"
VANDALISM,03/24/2020 01:00:00 PM,20-907794,VANDALISM,04X,300 21ST ST,Oakland,CA,"300 21ST ST
Oakland, CA
(37.809333, -122.263)"
STOLEN VEHICLE,03/31/2020 05:00:00 PM,20-017080,VEHICLE THEFT - AUTO,08X,300 34TH ST,Oakland,CA,"300 34TH ST
Oakland, CA
(37.82174, -122.260379)"
BURG - AUTO,01/24/2020 01:30:00 AM,20-906840,BURGLARY-AUTO,27X,2500 COURTLAND AV,Oakland,CA,"2500 COURTLAND AV
Oakland, CA
(37.780893, -122.204398)"
MISDEMEANOR ASSAULT,04/09/2020 12:59:00 AM,20-018397,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,8600 HILLSIDE ST,Oakland,CA,"8600 HILLSIDE ST
Oakland, CA
(37.757666, -122.164138)"
BURG - AUTO,04/01/2020 07:10:00 PM,20-907991,BURGLARY-AUTO,22Y,00 PEMBROKE CT,Oakland,CA,"00 PEMBROKE CT
Oakland, CA"
,03/08/2020 04:00:00 PM,20-013764,MAIL/ETC THEFT/ETC,32X,1200 104TH AV,Oakland,CA,"1200 104TH AV
Oakland, CA
(37.737949, -122.171216)"
,03/09/2020 08:30:00 PM,20-013724,VEHICLE THEFT - AUTO,29X,6100 LAIRD AV,Oakland,CA,"6100 LAIRD AV
Oakland, CA
(37.777168, -122.18058)"
OTHER,03/20/2020 03:57:00 PM,20-015423,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800222, -122.253307)"
VANDALISM,04/01/2020 07:00:00 PM,20-017283,VIOLATION OF PROBATION-FELONY,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
BURG - AUTO,03/27/2020 10:50:00 PM,20-907777,BURGLARY-AUTO,11X,600 POIRIER ST,Oakland,CA,"600 POIRIER ST
Oakland, CA
(37.847317, -122.265447)"
DUI,04/11/2020 09:46:00 PM,20-018786,DUI ALCOHOL/DRUGS,05Y,1800 14TH ST,Oakland,CA,"1800 14TH ST
Oakland, CA
(37.813704, -122.29867)"
DOMESTIC VIOLENCE,04/01/2020 09:00:00 AM,20-017198,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,13Y,7000 PINEHAVEN RD,Oakland,CA,"7000 PINEHAVEN RD
Oakland, CA
(37.846121, -122.212201)"
ROBBERY,04/01/2020 02:19:00 PM,20-017237,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,23X,1500 35TH AV,Oakland,CA,"1500 35TH AV
Oakland, CA
(37.777353, -122.222134)"
BURG - AUTO,03/26/2020 04:25:00 PM,20-907740,BURGLARY-AUTO,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
BURG - AUTO,03/25/2020 12:45:00 PM,20-907706,BURGLARY-AUTO,18Y,2100 23RD AV,Oakland,CA,"2100 23RD AV
Oakland, CA
(37.78877, -122.23159)"
HOMICIDE,04/01/2020 07:17:00 PM,20-017297,MURDER:FIRST DEGREE,31Y,98TH AV & EDES AV,Oakland,CA,"98TH AV & EDES AV
Oakland, CA
(37.736405, -122.183166)"
BURG - AUTO,03/28/2020 01:00:00 AM,20-907782,BURGLARY-AUTO,15X,1900 LAKESHORE AV,Oakland,CA,"1900 LAKESHORE AV
Oakland, CA
(37.802387, -122.254098)"
ROBBERY,04/02/2020 10:30:00 AM,20-017361,ROBBERY-KNIFE OR CUTTING INSTRUMENT,01X,300 WATER ST,Oakland,CA,"300 WATER ST
Oakland, CA
(37.794257, -122.276148)"
